Job Title,Job Experience Required,Key Skills,Role Category,Location,Functional Area,Industry,Role,Longitude,Latitude,sal,combined_features
 Magento Developer,2 - 7 yrs, Copyright| Email| jQuery| XML| Javascript| CakePHP| Customer service| Open source| Facebook| CSS3,Programming & Design,Ahmedabad,"IT Software - eCommerce , Internet Technologies","Textiles, Garments, Accessories",Software Developer,72.5797068,23.0216238,6891," Copyright| Email| jQuery| XML| Javascript| CakePHP| Customer service| Open source| Facebook| CSS3 Software Developer Textiles, Garments, Accessories IT Software - eCommerce , Internet Technologies"
 Looking For Trained Freshers in MS Dynamics CRM- Hyderabad,0 - 3 yrs, C#| MS Dynamics CRM| Microsoft Dynamics| ms dynamics,Programming & Design,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,78.4740613,17.360589,6493," C#| MS Dynamics CRM| Microsoft Dynamics| ms dynamics Software Developer IT-Software, Software Services IT Software - Application Programming , Maintenance"
 Job Openings Kotak Life/ Max Life/ Aditya Birla Health for Sales Mgr,3 - 7 yrs, sales manager| business development manager| relationship manager| brokers| insurance sales| channel sales| direct sale| direct marketing| sales| Marketing Executive| Territory Sales Manager,Retail/Personal Banking,"Bhilai/Bhillai,Bhilwara,Bhopal,Bhubaneshwar,Bikaner,Bilaspur,Bokaro,Chandigarh,Burdwan","Financial Services , Banking , Investments , Insurance",Insurance,Sales Officer,,,5623," sales manager| business development manager| relationship manager| brokers| insurance sales| channel sales| direct sale| direct marketing| sales| Marketing Executive| Territory Sales Manager Sales Officer Insurance Financial Services , Banking , Investments , Insurance"
 Business Development / Corporate Sales,0 - 4 yrs, lead generation| business development| corporate sales,Retail Sales,Delhi NCR,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager,77.1212148,28.6882438,1564," lead generation| business development| corporate sales Sales/Business Development Manager IT-Software, Software Services Sales , Retail , Business Development"
 Business Development Manager (BDM),2 - 5 yrs, contract management| closing| it services| relationship building| managed services| selling| market research| business development manager| sales,Retail Sales,"Delhi,Delhi","Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager,77.2219388,28.6517178,5439," contract management| closing| it services| relationship building| managed services| selling| market research| business development manager| sales Sales/Business Development Manager IT-Software, Software Services Sales , Retail , Business Development"
 QA Executive,2 - 5 yrs, QA Executive,QA/Testing/Documentation,Hyderabad,IT Software - QA & Testing,"Pharma, Biotech, Clinical Research",Quality Assurance/Quality Control Executive,78.4740613,17.360589,5434," QA Executive Quality Assurance/Quality Control Executive Pharma, Biotech, Clinical Research IT Software - QA & Testing"
 Back End Java Developer - Restful Services/soap,6 - 8 yrs, Java EE| JMS| Core Java| JUnit| Weblogic| HTML| JPA| JSON| SOAP| SQL,Programming & Design,Bengaluru,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",Software Developer,77.590082,12.9767936,4114," Java EE| JMS| Core Java| JUnit| Weblogic| HTML| JPA| JSON| SOAP| SQL Software Developer IT-Software, Software Services IT Software - DBA , Datawarehousing"
 Product Engineer,4 - 9 yrs, Conceptualization| Architecting| Continuous improvement| SIDE| development| Front end| it,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,77.590082,12.9767936,4897," Conceptualization| Architecting| Continuous improvement| SIDE| development| Front end| it Software Developer IT-Software, Software Services IT Software - Application Programming , Maintenance"
 Opening For Articulate tool Developer - Articulate / Captivate)chennai,3 - 5 yrs, Articulate Storyline,Programming & Design,Chennai,"IT Software - Application Programming , Maintenance","Animation, Gaming",Graphic/Web Designer,80.270186,13.0836939,4626," Articulate Storyline Graphic/Web Designer Animation, Gaming IT Software - Application Programming , Maintenance"
 Urgent Hiring for Area Sales Manager,7 - 12 yrs, Area Sales Management| Retail Sales| FMCG| Chocolate| confectionary| ASM| Area Sales Manager| area business manager,Retail Sales,"Ambala,Gurgaon","Sales , Retail , Business Development","FMCG, Foods, Beverage",Area Sales Manager,76.770421,30.3843674,1724," Area Sales Management| Retail Sales| FMCG| Chocolate| confectionary| ASM| Area Sales Manager| area business manager Area Sales Manager FMCG, Foods, Beverage Sales , Retail , Business Development"
 Software Engineer - C++ Development - Ooad/oops,4 - 9 yrs, C#| Java| OOP| C++| Multithreading| UML| OOAD| OOPS| .Net| debugging,Programming & Design,Chennai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,80.270186,13.0836939,4562," C#| Java| OOP| C++| Multithreading| UML| OOAD| OOPS| .Net| debugging Software Developer IT-Software, Software Services IT Software - Application Programming , Maintenance"
 Linux Administrator Lead,5 - 10 yrs, qmail| workflow| nagios| windows server| networking| mysql| monitoring| redhat| maintaining| centos,Admin/Maintenance/Security/Datawarehousing,"Gurgaon,Gurgaon","IT Software - Network Administration , Security","IT-Software, Software Services",System Administrator,77.00270015,28.42826235,5425," qmail| workflow| nagios| windows server| networking| mysql| monitoring| redhat| maintaining| centos System Administrator IT-Software, Software Services IT Software - Network Administration , Security"
 Hiring for Tech Pm/scrum Master for Hyderabad Location,8 - 10 yrs, Java| JPA| Hibernate| Project Management| JDBC| Scrum Master| Microservices| Agile| SOAP| Rest,Project Management,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Project Manager-IT/Software,78.4740613,17.360589,5286," Java| JPA| Hibernate| Project Management| JDBC| Scrum Master| Microservices| Agile| SOAP| Rest Project Manager-IT/Software IT-Software, Software Services IT Software - Application Programming , Maintenance"
 Assistant Professor (Grade I)-Theoretical Computer Science,3 - 5 yrs,vide,,Delhi,"Teaching , Education , Training , Counselling","Education, Teaching, Training",,77.2219388,28.6517178,2948,"vide  Education, Teaching, Training Teaching , Education , Training , Counselling"
 US Based Financial Company Looking For Java API Engineers For HYD,6 - 8 yrs, Java| java api| Banking| j2ee| API| finance| core java| microservices,Programming & Design,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,78.4740613,17.360589,5198," Java| java api| Banking| j2ee| API| finance| core java| microservices Software Developer IT-Software, Software Services IT Software - Application Programming , Maintenance"
 Strong Partner Ecosystem,2 - 7 yrs, GIS| ISO 27001| HR| information system| process| ISO 9001| Information security management| GIS software| Management| Edge,Programming & Design,Noida,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Project Lead,77.3271074,28.5707841,4494," GIS| ISO 27001| HR| information system| process| ISO 9001| Information security management| GIS software| Management| Edge Project Lead IT-Software, Software Services IT Software - Application Programming , Maintenance"
 Wordpress Web Developer,3 - 6 yrs,vide,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer,77.590082,12.9767936,4689,"vide Software Developer Recruitment, Staffing IT Software - Application Programming , Maintenance"
 Senior Executive- Contract Logistics- Bom WP-A,2 - 5 yrs, Administration| Administrative Support| Contract Logistics| Staff Development| Site Management| Quality Improvement| warehousing| Warehouse Operations,Logistics,Mumbai,Purchase / Logistics / Supply Chain,"Courier, Transportation, Freight , Warehousing",Logistics Executive,72.8773928,19.0759899,3815," Administration| Administrative Support| Contract Logistics| Staff Development| Site Management| Quality Improvement| warehousing| Warehouse Operations Logistics Executive Courier, Transportation, Freight , Warehousing Purchase / Logistics / Supply Chain"
 Accounts Manager,2 - 3 yrs, filing| tds| service industry| pf| esi| returns| coaching| payroll| invoice| tally,Accounts,Mumbai,"Accounts , Finance , Tax , Company Secretary , Audit","Security, Law Enforcement",Accounts Executive/Accountant,72.8773928,19.0759899,3252," filing| tds| service industry| pf| esi| returns| coaching| payroll| invoice| tally Accounts Executive/Accountant Security, Law Enforcement Accounts , Finance , Tax , Company Secretary , Audit"
 Technical Sales Executive with fixed pay & lucrative incentives/UK Inb,0 - 3 yrs, Outbound| Antivirus| Technical support| Sales| Spot| Inbound calls| pay| Medical| Comp,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical),88.35769124,22.5414185,3087," Outbound| Antivirus| Technical support| Sales| Spot| Inbound calls| pay| Medical| Comp Associate/Senior Associate -(NonTechnical) IT-Software, Software Services ITES , BPO , KPO , LPO , Customer Service , Operations"
 nutanix sme ,15 - 20 yrs, Troubleshooting| DNS| DHCP| Monitoring| Virtualization| Shell scripting| Python| VMS| Open source| Archiving,Technical Support,Bengaluru,"IT Hardware , Technical Support , Telecom Engineering","IT-Software, Software Services",Technical Support Manager,77.590082,12.9767936,1965," Troubleshooting| DNS| DHCP| Monitoring| Virtualization| Shell scripting| Python| VMS| Open source| Archiving Technical Support Manager IT-Software, Software Services IT Hardware , Technical Support , Telecom Engineering"
 System Architect - 3g/4g Wireless Network Architecture & Migration,10 - 16 yrs, 4G| 3GPP| 3G| System Architect| LTE| Radio Access Network| PhD| IEEE,Programming & Design,Mumbai,"IT Software - Network Administration , Security","IT-Software, Software Services",Technical Architect,72.8773928,19.0759899,3883," 4G| 3GPP| 3G| System Architect| LTE| Radio Access Network| PhD| IEEE Technical Architect IT-Software, Software Services IT Software - Network Administration , Security"
"Excellent Opportunity For ” Linux Device Driver ” ,for Hyderabad and Ban", 2 - 7 Years,arm processor|c|device drivers|embedded linux|linux kernel|ipc,Programming & Design," Hyderabad, Bengaluru","IT Software - Application Programming , Maintenance",IT-Software / Software Services,Software Developer,77.6370384,13.023331,5273,"arm processor|c|device drivers|embedded linux|linux kernel|ipc Software Developer IT-Software / Software Services IT Software - Application Programming , Maintenance"
 Java Developer,6 - 8 yrs, JMS| Core Java| Sonar| Weblogic| XML| J2Ee| SVN| Spring| Oracle 11G| SQL,,Pune,Other,Other,Other,73.8544541,18.521428,4087, JMS| Core Java| Sonar| Weblogic| XML| J2Ee| SVN| Spring| Oracle 11G| SQL Other Other Other
 Regional Representative,0 - 3 yrs, market| presentation| strong analytical skills| english| presentation skills| developing| customer interaction,Institutional Sales,Noida,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager,77.3271074,28.5707841,4615," market| presentation| strong analytical skills| english| presentation skills| developing| customer interaction Sales/Business Development Manager IT-Software, Software Services Sales , Retail , Business Development"
 Hiring For Record To Report,1 - 4 yrs, fixed assets| accounts payable| record to report| general accounting| general ledger,Voice,"Gurgaon,Noida","ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical),77.00270015,28.42826235,6666," fixed assets| accounts payable| record to report| general accounting| general ledger Associate/Senior Associate -(NonTechnical) BPO, Call Centre, ITeS ITES , BPO , KPO , LPO , Customer Service , Operations"
 Product & Regional Sales Manager,3 - 6 yrs, Team management| Regional sales| Management,Retail Sales,Mumbai,"Sales , Retail , Business Development","Strategy, Management Consulting Firms",Regional Manager,72.8773928,19.0759899,6397," Team management| Regional sales| Management Regional Manager Strategy, Management Consulting Firms Sales , Retail , Business Development"
 Senior Manager/associate Director - Mandarin,10 - 15 yrs, Commercial Activities| Commercial Sales| Online Sales| Senior Management| Budgeting| Strategy Implementation| Marketing| E - commerce,Senior Management,"Delhi,Gurgaon","Sales , Retail , Business Development","Internet, Ecommerce",Head / VP/ GM/ National Manager After Sales,77.0222524,28.5061017,3009," Commercial Activities| Commercial Sales| Online Sales| Senior Management| Budgeting| Strategy Implementation| Marketing| E - commerce Head / VP/ GM/ National Manager After Sales Internet, Ecommerce Sales , Retail , Business Development"
 ODI Developer/lead ODI Developer - RACI,5 - 10 yrs, ODI| Matrix,Programming & Design,Mumbai,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",Software Developer,72.8773928,19.0759899,4707," ODI| Matrix Software Developer IT-Software, Software Services IT Software - DBA , Datawarehousing"
 UI Developer,2 - 4 yrs, javascript| sql| php| php mysql| css| software development| technical| photoshop| mca| ajax| jquery| application| web| design| mysql| html,Programming & Design,Noida,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,77.3271074,28.5707841,6928," javascript| sql| php| php mysql| css| software development| technical| photoshop| mca| ajax| jquery| application| web| design| mysql| html Software Developer IT-Software, Software Services IT Software - Application Programming , Maintenance"
 Assistant Manager ,5 - 8 yrs, Relationship management| Relationship building| Client relationship| Training| Analytical skills| Process mapping| Standard operating procedures| Agile| Management| Visa processing,Voice,Gurgaon,"ITES , BPO , KPO , LPO , Customer Service , Operations","Education, Teaching, Training",Associate/Senior Associate -(NonTechnical),77.00270015,28.42826235,2117," Relationship management| Relationship building| Client relationship| Training| Analytical skills| Process mapping| Standard operating procedures| Agile| Management| Visa processing Associate/Senior Associate -(NonTechnical) Education, Teaching, Training ITES , BPO , KPO , LPO , Customer Service , Operations"
 Android Developer,2 - 5 yrs, android| btech| iphone| server| analytical| developing| ios| platforms| objective c| web| xml| design| json| programming| development| c| testing| mobile| xcode| application development| eclipse| application| sdk| applications,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,77.590082,12.9767936,2293," android| btech| iphone| server| analytical| developing| ios| platforms| objective c| web| xml| design| json| programming| development| c| testing| mobile| xcode| application development| eclipse| application| sdk| applications Software Developer IT-Software, Software Services IT Software - Application Programming , Maintenance"
 International BPO / Non Voice Process / Rotational Shift / Ahmedabad,1 - 4 yrs, cca| bpo| csr| international bpo| customer service| outbound process| customer care| tourism| customer support| fresher| voice process| inbound process| cse| bpo fresher| voice support| hotel| travel,Voice,Ahmedabad,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical),72.5797068,23.0216238,6757," cca| bpo| csr| international bpo| customer service| outbound process| customer care| tourism| customer support| fresher| voice process| inbound process| cse| bpo fresher| voice support| hotel| travel Associate/Senior Associate -(NonTechnical) BPO, Call Centre, ITeS ITES , BPO , KPO , LPO , Customer Service , Operations"
 iOS Developer,2 - 5 yrs, bca| graphics| application development| b tech| core| b sc| application| b e| ios| publishing| animation,Programming & Design,"Chandigarh,Chandigarh",IT Software - Mobile,"IT-Software, Software Services",Software Developer,76.7797143,30.7334421,3523," bca| graphics| application development| b tech| core| b sc| application| b e| ios| publishing| animation Software Developer IT-Software, Software Services IT Software - Mobile"
 F&A Black belt - Process Excellence Lead,8 - 13 yrs, Accounting| Continuous Improvement| Process Improvement| Load Balancing| Lean Six Sigma| Black Belt| Training| Green Belt| Process re - engineering| Process Excellence| Business Excellence| OTC,Back Office/Web/Transaction Processing,"Chennai,Gurgaon,Bengaluru","ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Team Leader -(NonTechnical),77.5645232,13.0149021,3759," Accounting| Continuous Improvement| Process Improvement| Load Balancing| Lean Six Sigma| Black Belt| Training| Green Belt| Process re - engineering| Process Excellence| Business Excellence| OTC Team Leader -(NonTechnical) BPO, Call Centre, ITeS ITES , BPO , KPO , LPO , Customer Service , Operations"
 IT - Head (preferably from an NGO),15 - 20 yrs, networking| information technology| network administration| technical support| support services| license management| disaster recovery| data security| it training| it software,,Delhi NCR,Other,"NGO, Social Services, Regulators, Industry Associations",Other,77.1212148,28.6882438,5898," networking| information technology| network administration| technical support| support services| license management| disaster recovery| data security| it training| it software Other NGO, Social Services, Regulators, Industry Associations Other"
 Digital Content Producer For largest Media House,3 - 8 yrs, Automobile| Digital Content| Content Development| Production| Web Content Writing,Content Development,"Bengaluru,Hyderabad","Journalism , Editing , Content","Media, Entertainment, Internet",Content Developer,77.6370384,13.023331,3515," Automobile| Digital Content| Content Development| Production| Web Content Writing Content Developer Media, Entertainment, Internet Journalism , Editing , Content"
 Manager Holidays,6 - 10 yrs, Tourism| target achievement| negotiation skills| revenue management| Tour Packages,Retail Sales,Mumbai,"Sales , Retail , Business Development","Aviation, Aerospace, Aeronautical",Sales/Business Development Manager,72.8773928,19.0759899,6136," Tourism| target achievement| negotiation skills| revenue management| Tour Packages Sales/Business Development Manager Aviation, Aerospace, Aeronautical Sales , Retail , Business Development"
 Backend Developer,1 - 5 yrs, PHP| Networking| Data structures| HTTP| JSON| Software design| Computer science| System design| Backend| Ticketing,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","Internet, Ecommerce",Software Developer,77.590082,12.9767936,4176," PHP| Networking| Data structures| HTTP| JSON| Software design| Computer science| System design| Backend| Ticketing Software Developer Internet, Ecommerce IT Software - Application Programming , Maintenance"
 JUNIOR BIG DATA ANALYST IN,1 - 3 yrs,vide,Operations,Bengaluru,"ITES , BPO , KPO , LPO , Customer Service , Operations","Recruitment, Staffing",Business/EDP Analyst,77.590082,12.9767936,2074,"vide Business/EDP Analyst Recruitment, Staffing ITES , BPO , KPO , LPO , Customer Service , Operations"
 Chief Engineer,11 - 15 yrs, Chief Engineer| Hospitality| HVAC| Maintenance| Water Treatment| Energy Conservation| Capital Expenditure,,Hyderabad,Top Management,"Travel , Hotels , Restaurants , Airlines , Railways",CEO/MD/Director,78.4740613,17.360589,2994," Chief Engineer| Hospitality| HVAC| Maintenance| Water Treatment| Energy Conservation| Capital Expenditure CEO/MD/Director Travel , Hotels , Restaurants , Airlines , Railways Top Management"
 Oracle DBA Consultant - Data Guard/rac Modules,2 - 5 yrs, WebLogic| configuration| MySQL| installation| Oracle DBA| troubleshooting| Oracle RAC,Admin/Maintenance/Security/Datawarehousing,Mumbai,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",DBA,72.8773928,19.0759899,1528," WebLogic| configuration| MySQL| installation| Oracle DBA| troubleshooting| Oracle RAC DBA IT-Software, Software Services IT Software - DBA , Datawarehousing"
 Global HR Operations Analyst,1 - 4 yrs, Service level| Data management| HR Coordinator| Management audit| HR operations| Human resource management,HR/ Recruitment / IR,Gurgaon,"HR , Recruitment , Administration , IR","Industrial Products, Heavy Machinery",HR Executive,77.00270015,28.42826235,6377," Service level| Data management| HR Coordinator| Management audit| HR operations| Human resource management HR Executive Industrial Products, Heavy Machinery HR , Recruitment , Administration , IR"
 Compiler- Support Engineer,5 - 10 yrs, Graphics| C++| Windows OS| Linux| high performance computing| Test cases| System software| Gaming| FreeBSD,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","Telcom, ISP",Software Developer,77.590082,12.9767936,4462," Graphics| C++| Windows OS| Linux| high performance computing| Test cases| System software| Gaming| FreeBSD Software Developer Telcom, ISP IT Software - Application Programming , Maintenance"
 Key Accounts Manager,0 - 0 yrs,vide,Advertising,Bengaluru,"Marketing , Advertising , MR , PR , Media Planning","Telcom, ISP",Client Servicing/Key Account Manager,77.590082,12.9767936,2096,"vide Client Servicing/Key Account Manager Telcom, ISP Marketing , Advertising , MR , PR , Media Planning"
 Head Sales- Coworking Company,7 - 12 yrs, Sales| Team Building| Strategic Leadership| Real Estate| Field Sales| Sales Strategy| Enterprise Business| Go - to - market Strategy| Enterprise sales| Sales Executive Activities| Marketing,Senior Management,Delhi NCR,"Sales , Retail , Business Development","Real Estate, Property",Head/VP/GM/National Manager -Sales,77.1212148,28.6882438,6305," Sales| Team Building| Strategic Leadership| Real Estate| Field Sales| Sales Strategy| Enterprise Business| Go - to - market Strategy| Enterprise sales| Sales Executive Activities| Marketing Head/VP/GM/National Manager -Sales Real Estate, Property Sales , Retail , Business Development"
" Clubhouse Manager, Facility Manager,",2 - 5 yrs, Facility Management| facility services,Health & Fitness,Bengaluru,Beauty / Fitness / Spa Services,Facility Management,Centre Head / Branch Head / Club Manager,77.590082,12.9767936,3408, Facility Management| facility services Centre Head / Branch Head / Club Manager Facility Management Beauty / Fitness / Spa Services
 IP DRG / Surgery / ED / Denials Coders,1 - 5 yrs, sds| radiology| CPT| icd - 10| EM| medical coding| coders| surgery| ed,Voice,"Chennai,Hyderabad,Trivandrum","ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical),,,2230," sds| radiology| CPT| icd - 10| EM| medical coding| coders| surgery| ed Associate/Senior Associate -(NonTechnical) BPO, Call Centre, ITeS ITES , BPO , KPO , LPO , Customer Service , Operations"
 Sales Manager - Education Sales,5 - 7 yrs, Market analysis| Public relations| CV| Relationship building| Market intelligence| Prospecting| Budgeting| Sales process| Branding,Retail Sales,Gurgaon,"Sales , Retail , Business Development","Recruitment, Staffing",Sales/Business Development Manager,77.00270015,28.42826235,2856," Market analysis| Public relations| CV| Relationship building| Market intelligence| Prospecting| Budgeting| Sales process| Branding Sales/Business Development Manager Recruitment, Staffing Sales , Retail , Business Development"
 HR Associate,0 - 2 yrs, ERP| MIS| Succession Planning| Reports| Talent Management| Human Resources| HR Policies| Recruitment| Talent Acquisition,HR/ Recruitment / IR,Hyderabad,"HR , Recruitment , Administration , IR","IT-Software, Software Services",HR Executive,78.4740613,17.360589,5736," ERP| MIS| Succession Planning| Reports| Talent Management| Human Resources| HR Policies| Recruitment| Talent Acquisition HR Executive IT-Software, Software Services HR , Recruitment , Administration , IR"
